playerId,playerName,team,friday_avg,friday_obp,friday_slg,friday_ops,sunday_avg,sunday_obp,sunday_slg,sunday_ops
ID695391,Brett Harris,Athletics,0.143,0.25,0.143,0.393,0.412,0.444,0.588,1.032
ID647351,Abraham Toro,Boston Red Sox,0.25,0.288,0.375,0.663,0.41,0.442,0.564,1.006
ID690022,Ryan Ritter,Colorado Rockies,0.222,0.216,0.361,0.577,0.407,0.5,0.444,0.944
ID669722,Logan Davidson,Athletics,0,0,0,0,0.4,0.5,0.6,1.1
ID592178,Kris Bryant,Colorado Rockies,0,0,0,0,0.4,0.4,0.6,1
ID621512,Tomás Nido,Detroit Tigers,0.375,0.375,0.375,0.75,0.4,0.4,0.4,0.8
ID665877,José Fermín,St. Louis Cardinals,0,0,0,0,0.389,0.5,0.611,1.111
ID671221,Drew Waters,Kansas City Royals,0.25,0.25,0.333,0.583,0.387,0.441,0.548,0.989
ID682622,Noelvi Marte,Cincinnati Reds,0.216,0.25,0.373,0.623,0.383,0.422,0.633,1.055
ID695734,Daylen Lile,Washington Nationals,0.3,0.364,0.58,0.944,0.377,0.393,0.528,0.921
ID678489,Jorge Barrosa,Arizona Diamondbacks,0.125,0.125,0.125,0.25,0.375,0.375,0.75,1.125
ID680728,Adrian Del Castillo,Arizona Diamondbacks,0.353,0.353,0.353,0.706,0.375,0.412,0.625,1.037
ID685301,Matt Gorski,Pittsburgh Pirates,0,0.125,0,0.125,0.375,0.375,0.625,1
ID640902,Jhonny Pereda,Minnesota Twins,0.429,0.5,0.714,1.214,0.375,0.375,0.5,0.875
ID624428,Adam Frazier,Kansas City Royals,0.265,0.306,0.441,0.747,0.37,0.37,0.593,0.963
ID683734,Andrew Vaughn,Milwaukee Brewers,0.324,0.39,0.568,0.958,0.368,0.4,0.421,0.821
ID686452,Drew Millas,Washington Nationals,0.333,0.333,0.333,0.666,0.364,0.417,0.727,1.144
ID694497,Evan Carter,Texas Rangers,0.206,0.372,0.206,0.578,0.364,0.4,0.727,1.127
ID805300,Jakob Marsee,Miami Marlins,0.194,0.286,0.323,0.609,0.364,0.4,0.697,1.097
ID672580,Maikel Garcia,Kansas City Royals,0.376,0.448,0.613,1.061,0.363,0.423,0.593,1.016
ID669701,Josh Smith,Texas Rangers,0.222,0.3,0.383,0.683,0.361,0.454,0.518,0.972
ID686217,Sal Frelick,Milwaukee Brewers,0.282,0.357,0.365,0.722,0.361,0.403,0.417,0.82
ID663538,Nico Hoerner,Chicago Cubs,0.272,0.318,0.417,0.735,0.358,0.384,0.495,0.879
ID642851,Austin Wynns,Athletics,0.143,0.143,0.571,0.714,0.357,0.4,0.857,1.257
ID807712,Luke Keaschall,Minnesota Twins,0.333,0.417,0.4,0.817,0.357,0.471,0.571,1.042
